48,Jumeirah Golf Estates,OMDB,Asia/Dubai
63,Golf Club Gut LÃ¤rchenhof,EDDK,Europe/Berlin
96,Regnum Carya Golf and Spa Resort,LTAI,Europe/Istanbul
95,The Grove,EGLL,Europe/London
47,Gary Player Golf Course,FAPR,Africa/Johannesburg
26,Le Golf National,LFPN,Europe/Paris
64,Castle Stuart Golf Links,EGPE,Europe/London
5,Albatross Golf Resort,LKPR,Europe/Prague
12,Golf Club Milano,LIMC,Europe/Rome
4,Himmerland Golf and Spa Resort,EKYT,Europe/Copenhagen
13,Golf Resort Bad Griesbach,EDDM,Europe/Berlin
21,Oceanico Victoria Golf Club,LPFR,Europe/Lisbon
69,The Dutch,EHRD,Europe/Amsterdam
16,St. Andrews Old Course,EGPN,Europe/London
17,Carnoustie Golf Links,EGPN,Europe/London
18,Kingsbarns Golf Links,EGPN,Europe/London 